Age,Gender,Tenure/Duration/Ageing,Qualification,Current Occupation/Job,Agency Type,Interim Number of Policies issued,Number of policies rated up,First Years Premium,Renewal Premium,Commission Clawback, Product Type=Risk,Avg TAT for Risk Product, Product Type=Investment,Avg TAT for Investment Product, Product Type=Annuity,Avg TAT for Annuity Product,Renewal commission,Deviation from target policies,Training & DevelopmentRandom NumberMe,Agency Portal usage,Unit Manager,Quotes requested,Agency survery-Satisfaction,No Policy Cancellation-FLC ,Number of Compliants received,Number of Claims Declined,Hit Ratio,Number of policies declined,Label
59,1,1,Post Graduate,Proffessor,Independent,125,0,86365,82795,7838,36,8,35,3,54,1,6210,20,3,High,HymanRory,139,5,0,0,0,0.43980344,0,2
58,1,2,Post Graduate,Doctor,Captive,158,0,95661,87334,7051,39,9,42,2,49,1,6551,65,2,Low,VickieMai,130,6,0,0,0,1.10738255,1,2
32,1,11,Graduate,Architect,Captive,258,0,78249,85927,5095,62,8,64,1,68,1,6445,-71,6,High,JacquelynLonny,309,4,0,0,0,1.544,0,1
45,1,15,Graduate,Consultant,Captive,339,8,83615,99700,0,82,9,75,2,92,0,7478,-2,4,High,AdrienneElliott,518,8,0,0,0,0.881967213,2,2
33,1,1,Graduate,Architect,Captive,530,7,83761,80310,7764,70,11,73,4,77,0,6024,-242,1,Medium,KristopherRolando,220,10,0,2,0,0.330472103,2,2
59,2,38,Post Graduate,Driver,Independent,186,5,87314,77620,5762,43,6,45,0,54,2,5822,11,5,Low,MagdalenaCarmen,142,5,0,0,0,0.616481775,1,2
41,1,14,Post Graduate,Driver,Independent,238,5,76370,90660,0,50,9,48,1,58,2,6800,4,5,Medium,LorenzoJohanna,245,5,0,0,1,0.307692308,1,2
26,2,2,Post Graduate,Doctor,Independent,599,6,54513,83958,0,55,10,56,3,65,2,6297,-504,1,High,AmyShaun,204,10,0,0,1,0.490196078,1,1
34,1,12,Graduate,Proffessor,Independent,600,0,88670,75778,0,47,6,44,4,66,1,5684,-376,4,High,DeandreAimee,156,5,2,1,0,0.678787879,1,2
28,1,4,Graduate,Driver,Captive,479,0,53384,91266,8027,43,6,49,4,62,2,6845,-357,1,High,BusterNadia,484,5,2,2,0,2.812154696,1,1
46,1,1,Post Graduate,Consultant,Captive,321,7,67767,89408,8182,75,10,75,3,77,0,6706,-185,6,Low,TwilaBradley,542,8,2,0,2,0.562637363,2,1
43,1,13,Post Graduate,Business,Independent,198,0,78345,83329,5023,57,10,63,4,77,2,6250,40,2,Medium,DwightNeva,403,3,0,0,2,0.297163995,2,2
41,1,9,Graduate,Pilot,Independent,487,0,65668,95297,0,137,10,142,4,194,2,7148,-32,3,High,BillyJerry,511,6,5,0,0,0.540478905,0,1
47,2,15,Post Graduate,Engineer,Captive,466,0,55277,84554,0,58,11,62,2,68,1,6342,-307,6,Low,VickieMai,188,5,2,1,1,0.744712991,1,1
50,1,20,Graduate,Engineer,Captive,136,5,76742,84808,6877,39,7,41,2,56,1,6361,65,4,High,BusterNadia,556,3,0,3,0,0.438858696,0,2
52,1,33,Post Graduate,Consultant,Independent,609,11,86271,98453,0,105,11,102,2,133,2,7384,-340,5,High,LorenzoJohanna,340,2,0,0,0,0.522836538,2,1
47,1,15,Post Graduate,Teacher,Independent,502,0,97271,96898,6956,38,6,41,1,52,2,7268,-425,3,High,MavisJanelle,131,1,0,0,0,1.609230769,0,1
49,2,2,Graduate,Software Developer,Independent,393,0,70177,91519,8658,50,9,59,0,69,2,6864,-180,2,Low,YoungMicah,178,2,0,3,0,1.067669173,1,2
29,1,2,Graduate,Teacher,Captive,408,13,79631,93825,0,114,7,122,1,171,0,7037,63,2,Medium,AmyShaun,460,2,0,0,2,1.549668874,3,2
54,1,20,Post Graduate,Consultant,Independent,224,0,67007,85467,7361,55,9,56,4,71,2,6411,-20,2,Low,DiegoJane,182,2,2,4,0,0.77540107,0,2
39,1,16,Graduate,Software Developer,Independent,436,7,82592,82589,0,68,11,64,0,74,1,6195,-185,6,High,MagdalenaCarmen,347,4,2,0,0,0.691275168,0,2
20,1,1,Post Graduate,Business,Independent,480,0,68694,84550,0,144,7,149,4,187,2,6342,-91,3,Low,JohnathanLydia,509,10,0,5,0,1.071428571,0,1
26,2,6,Post Graduate,Pensioner,Captive,128,4,72850,78537,0,36,9,38,3,54,0,5891,39,1,Low,MarcAlec,227,4,1,2,1,0.877333333,0,2
39,1,20,Graduate,Engineer,Independent,292,0,94128,79249,5637,85,6,85,2,123,0,5944,61,4,High,JacquelynLonny,298,10,3,2,0,0.736263736,2,2
31,1,0,Graduate,Pensioner,Captive,478,0,99268,95233,0,63,6,59,3,75,2,7143,-219,4,Low,DarrylErnie,203,6,0,0,0,0.411978221,0,2
24,1,6,Graduate,Doctor,Independent,605,0,64614,76478,0,41,9,39,0,53,2,5736,-544,1,Low,TracieSasha,557,7,0,3,1,0.886666667,1,1
